x;y;
0;3.5664974e-009;
1.6620827e-008;3.6282876e-009;
3.3241654e-008;3.748708e-009;
4.9862481e-008;3.8867788e-009;
6.6483308e-008;3.9207805e-009;
8.3104135e-008;3.8522923e-009;
9.9724962e-008;3.6637641e-009;
1.1634579e-007;3.4602874e-009;
1.3296662e-007;3.3986371e-009;
1.4958744e-007;3.5001367e-009;
1.6620827e-007;3.6518966e-009;
1.828291e-007;3.7052151e-009;
1.9944992e-007;3.7172473e-009;
2.1607075e-007;3.7384245e-009;
2.3269158e-007;3.7558313e-009;
2.493124e-007;3.6550828e-009;
2.6593323e-007;3.5526737e-009;
2.8255406e-007;3.5370899e-009;
2.9917489e-007;3.5703494e-009;
3.1579571e-007;3.6212925e-009;
3.3241654e-007;3.6936402e-009;
3.4903737e-007;3.7874131e-009;
3.6565819e-007;3.8503669e-009;
3.8227902e-007;3.8807407e-009;
3.9889985e-007;3.8547379e-009;
4.1552067e-007;3.7719331e-009;
4.321415e-007;3.7384872e-009;
4.4876233e-007;3.6659777e-009;
4.6538316e-007;3.5297656e-009;
4.8200398e-007;3.4501775e-009;
4.9862481e-007;3.4763001e-009;
5.1524564e-007;3.5632619e-009;
5.3186646e-007;3.6763462e-009;
5.4848729e-007;3.8000021e-009;
5.6510812e-007;3.8641375e-009;
5.8172894e-007;3.7669066e-009;
5.9834977e-007;3.5812219e-009;
6.149706e-007;3.4944368e-009;
6.3159142e-007;3.5459717e-009;
6.4821225e-007;3.6386426e-009;
6.6483308e-007;3.7341175e-009;
6.8145391e-007;3.742543e-009;
6.9807473e-007;3.7049208e-009;
7.1469556e-007;3.6345012e-009;
7.3131639e-007;3.5679757e-009;
7.4793721e-007;3.4978784e-009;
7.6455804e-007;3.4804556e-009;
7.8117887e-007;3.5505884e-009;
7.9779969e-007;3.5997272e-009;
8.1442052e-007;3.6382049e-009;
8.3104135e-007;3.7009561e-009;
8.4766218e-007;3.7158671e-009;
8.64283e-007;3.6829675e-009;
8.8090383e-007;3.6223136e-009;
8.9752466e-007;3.6073933e-009;
9.1414548e-007;3.5970224e-009;
9.3076631e-007;3.6056172e-009;
9.4738714e-007;3.6248564e-009;
9.6400796e-007;3.6055377e-009;
9.8062879e-007;3.5694816e-009;
9.9724962e-007;3.6029671e-009;
1.0138704e-006;3.7398889e-009;
1.0304913e-006;3.9042681e-009;
1.0471121e-006;3.9009692e-009;
1.0637329e-006;3.7373999e-009;
1.0803538e-006;3.5935039e-009;
1.0969746e-006;3.6013008e-009;
1.1135954e-006;3.7041821e-009;
1.1302162e-006;3.7511174e-009;
1.1468371e-006;3.7429166e-009;
1.1634579e-006;3.7826027e-009;
1.1800787e-006;3.8464526e-009;
1.1966995e-006;3.8172532e-009;
1.2133204e-006;3.6819017e-009;
1.2299412e-006;3.5397544e-009;
1.246562e-006;3.4531411e-009;
1.2631828e-006;3.4366713e-009;
1.2798037e-006;3.478377e-009;
1.2964245e-006;3.4974477e-009;
1.3130453e-006;3.4879274e-009;
1.3296662e-006;3.4876714e-009;
1.346287e-006;3.4804202e-009;
1.3629078e-006;3.4541258e-009;
1.3795286e-006;3.3994371e-009;
1.3961495e-006;3.3846471e-009;
1.4127703e-006;3.4631459e-009;
1.4293911e-006;3.5673293e-009;
1.4460119e-006;3.6474665e-009;
1.4626328e-006;3.6428435e-009;
1.4792536e-006;3.5961477e-009;
1.4958744e-006;3.521848e-009;
1.5124953e-006;3.5123177e-009;
1.5291161e-006;3.5144758e-009;
1.5457369e-006;3.4675091e-009;
1.5623577e-006;3.4442582e-009;
1.5789786e-006;3.4798416e-009;
