x;y;
0;2.6271578e-009;
1.7574766e-008;2.553946e-009;
3.5149533e-008;2.4873913e-009;
5.2724299e-008;2.4639808e-009;
7.0299066e-008;2.3633135e-009;
8.7873832e-008;2.2331579e-009;
1.054486e-007;2.2794742e-009;
1.2302336e-007;2.2824526e-009;
1.4059813e-007;2.2801243e-009;
1.581729e-007;2.336355e-009;
1.7574766e-007;2.2441472e-009;
1.9332243e-007;2.1776846e-009;
2.108972e-007;2.1938321e-009;
2.2847196e-007;2.1735865e-009;
2.4604673e-007;2.1956191e-009;
2.636215e-007;2.2126025e-009;
2.8119626e-007;2.22977e-009;
2.9877103e-007;2.2419017e-009;
3.163458e-007;2.3080514e-009;
3.3392056e-007;2.3830353e-009;
3.5149533e-007;2.3324487e-009;
3.6907009e-007;2.3659235e-009;
3.8664486e-007;2.5046991e-009;
4.0421963e-007;2.5625496e-009;
4.2179439e-007;2.4898343e-009;
4.3936916e-007;2.4529369e-009;
4.5694393e-007;2.4589129e-009;
4.7451869e-007;2.4745455e-009;
4.9209346e-007;2.4817452e-009;
5.0966823e-007;2.4662611e-009;
5.2724299e-007;2.3031713e-009;
5.4481776e-007;2.2520063e-009;
5.6239253e-007;2.3196372e-009;
5.7996729e-007;2.2994268e-009;
5.9754206e-007;2.3685708e-009;
6.1511682e-007;2.5067728e-009;
6.3269159e-007;2.423269e-009;
6.5026636e-007;2.3788699e-009;
6.6784112e-007;2.3319866e-009;
6.8541589e-007;2.3384523e-009;
7.0299066e-007;2.3668764e-009;
7.2056542e-007;2.37155e-009;
7.3814019e-007;2.4183996e-009;
7.5571496e-007;2.4640323e-009;
7.7328972e-007;2.52312e-009;
7.9086449e-007;2.483688e-009;
8.0843925e-007;2.3568176e-009;
8.2601402e-007;2.27696e-009;
8.4358879e-007;2.2045968e-009;
8.6116355e-007;2.1969593e-009;
8.7873832e-007;2.2069967e-009;
8.9631309e-007;2.2624978e-009;
9.1388785e-007;2.2525576e-009;
9.3146262e-007;2.182738e-009;
9.4903739e-007;2.0821023e-009;
9.6661215e-007;2.0360832e-009;
9.8418692e-007;2.0111264e-009;
1.0017617e-006;1.9984509e-009;
1.0193365e-006;2.0809817e-009;
1.0369112e-006;2.2286782e-009;
1.054486e-006;2.3282385e-009;
1.0720608e-006;2.3151285e-009;
1.0896355e-006;2.3456407e-009;
1.1072103e-006;2.3791958e-009;
1.1247851e-006;2.3714423e-009;
1.1423598e-006;2.319886e-009;
1.1599346e-006;2.2495581e-009;
1.1775093e-006;2.2439781e-009;
1.1950841e-006;2.3695593e-009;
1.2126589e-006;2.5117254e-009;
1.2302336e-006;2.6397207e-009;
1.2478084e-006;2.8214097e-009;
1.2653832e-006;3.1385331e-009;
1.2829579e-006;3.4439418e-009;
1.3005327e-006;3.6455712e-009;
1.3181075e-006;3.9340716e-009;
1.3356822e-006;4.0476829e-009;
1.353257e-006;4.0727085e-009;
1.3708318e-006;4.061407e-009;
1.3884065e-006;3.9793775e-009;
1.4059813e-006;3.8315553e-009;
1.4235561e-006;3.6811449e-009;
1.4411308e-006;3.5709262e-009;
1.4587056e-006;3.5805135e-009;
1.4762804e-006;3.6384643e-009;
1.4938551e-006;3.6944659e-009;
1.5114299e-006;3.7677879e-009;
1.5290047e-006;3.820897e-009;
1.5465794e-006;3.9290039e-009;
1.5641542e-006;4.0395048e-009;
1.581729e-006;4.1436862e-009;
1.5993037e-006;4.2704778e-009;
1.6168785e-006;4.3474143e-009;
1.6344533e-006;4.3633613e-009;
1.652028e-006;4.3558018e-009;
1.6696028e-006;4.2994507e-009;
1.6871776e-006;4.2323192e-009;
1.7047523e-006;4.1788437e-009;
1.7223271e-006;4.1331724e-009;
1.7399019e-006;4.1143713e-009;
1.7574766e-006;4.0611499e-009;
1.7750514e-006;3.973829e-009;
1.7926262e-006;3.9191563e-009;
1.8102009e-006;3.8528208e-009;
1.8277757e-006;3.7857177e-009;
1.8453505e-006;3.730863e-009;
1.8629252e-006;3.7221482e-009;
1.8805e-006;3.7512142e-009;
1.8980748e-006;3.7543898e-009;
1.9156495e-006;3.7931594e-009;
1.9332243e-006;3.7978865e-009;
1.9507991e-006;3.7665982e-009;
1.9683738e-006;3.7078278e-009;
1.9859486e-006;3.6605767e-009;
2.0035234e-006;3.6345614e-009;
2.0210981e-006;3.5901458e-009;
2.0386729e-006;3.5326526e-009;
2.0562477e-006;3.4879359e-009;
2.0738224e-006;3.4694709e-009;
2.0913972e-006;3.4564394e-009;
2.108972e-006;3.3973614e-009;
2.1265467e-006;3.3837965e-009;
2.1441215e-006;3.3615045e-009;
2.1616963e-006;3.304692e-009;
2.179271e-006;3.2378749e-009;
2.1968458e-006;3.1788554e-009;
2.2144206e-006;3.2347198e-009;
2.2319953e-006;3.2903034e-009;
2.2495701e-006;3.3026726e-009;
2.2671449e-006;3.3225918e-009;
2.2847196e-006;3.3709864e-009;
2.3022944e-006;3.4004553e-009;
2.3198692e-006;3.3653235e-009;
2.3374439e-006;3.3658558e-009;
2.3550187e-006;3.3469009e-009;
2.3725935e-006;3.3267691e-009;
2.3901682e-006;3.2512917e-009;
2.407743e-006;3.2769221e-009;
2.4253178e-006;3.3690994e-009;
2.4428925e-006;3.4197141e-009;
2.4604673e-006;3.322409e-009;
2.4780421e-006;3.2283003e-009;
2.4956168e-006;3.1225155e-009;
2.5131916e-006;3.067689e-009;
2.5307664e-006;2.9706914e-009;
2.5483411e-006;2.9256905e-009;
