-23.8	8.83E-10	9.04E-9	4.89E-7	8.08E-7	3.03E-6	4.83E-6
-23.2	9.63E-10	1.09E-8	4.94E-7	8.16E-7	3.06E-6	4.92E-6
-22.6	1.01E-9	1.28E-8	5.23E-7	8.58E-7	3.15E-6	5.07E-6
-22	1.13E-9	1.42E-8	5.36E-7	8.66E-7	3.27E-6	5.17E-6
-21.4	1.25E-9	1.38E-8	5.67E-7	9.1E-7	3.3E-6	5.26E-6
-20.8	1.36E-9	1.62E-8	5.84E-7	9.46E-7	3.45E-6	5.49E-6
-20.2	1.45E-9	1.51E-8	6E-7	9.66E-7	3.63E-6	5.49E-6
-19.6	1.61E-9	1.72E-8	6.27E-7	1.01E-6	3.6E-6	5.68E-6
-19	1.7E-9	1.79E-8	6.4E-7	1.03E-6	3.75E-6	5.89E-6
-18.4	1.81E-9	1.92E-8	6.55E-7	1.08E-6	3.84E-6	5.92E-6
-17.8	2.01E-9	2.1E-8	6.79E-7	1.06E-6	3.93E-6	6.1E-6
-17.2	2.15E-9	2.25E-8	7.09E-7	1.08E-6	4.17E-6	6.27E-6
-16.6	2.35E-9	2.36E-8	7.18E-7	1.12E-6	4.05E-6	6.31E-6
-16	2.49E-9	2.42E-8	7.53E-7	1.13E-6	4.29E-6	6.32E-6
-15.4	2.69E-9	2.7E-8	7.85E-7	1.16E-6	4.41E-6	6.59E-6
-14.8	2.91E-9	2.91E-8	8.04E-7	1.24E-6	4.5E-6	6.67E-6
-14.2	3.15E-9	3.06E-8	8.34E-7	1.25E-6	4.62E-6	6.99E-6
-13.6	3.37E-9	3.1E-8	8.48E-7	1.3E-6	4.77E-6	7.1E-6
-13	3.67E-9	3.24E-8	8.72E-7	1.35E-6	4.8E-6	7.31E-6
-12.4	5.16E-9	3.4E-8	9.02E-7	1.36E-6	4.98E-6	7.43E-6
-11.8	4.89E-9	3.77E-8	9.31E-7	1.43E-6	4.95E-6	7.47E-6
-11.2	4.49E-9	3.97E-8	9.74E-7	1.43E-6	5.1E-6	7.77E-6
-10.6	4.72E-9	4.04E-8	9.82E-7	1.5E-6	5.19E-6	7.74E-6
-9.95	4.79E-9	4.55E-8	9.92E-7	1.5E-6	5.37E-6	7.97E-6
-9.35	5.24E-9	4.95E-8	1.04E-6	1.57E-6	5.64E-6	7.91E-6
-8.74	5.59E-9	4.99E-8	1.08E-6	1.61E-6	5.7E-6	8.26E-6
-8.14	5.77E-9	5.33E-8	1.12E-6	1.63E-6	6E-6	8.31E-6
-7.54	6.43E-9	5.61E-8	1.14E-6	1.67E-6	5.91E-6	8.44E-6
-6.93	6.76E-9	5.97E-8	1.18E-6	1.72E-6	6.21E-6	8.72E-6
-6.33	7.05E-9	6.31E-8	1.2E-6	1.72E-6	6.09E-6	8.92E-6
-5.73	7.45E-9	6.75E-8	1.24E-6	1.74E-6	6.27E-6	9.31E-6
-5.13	7.58E-9	7.05E-8	1.27E-6	1.78E-6	6.45E-6	9.36E-6
-4.52	8.27E-9	7.64E-8	1.29E-6	1.83E-6	6.45E-6	9.77E-6
-3.92	9.04E-9	8.13E-8	1.35E-6	1.89E-6	6.48E-6	9.63E-6
-3.32	9.48E-9	8.52E-8	1.4E-6	1.96E-6	6.69E-6	1.01E-5
-2.71	1.03E-8	8.82E-8	1.48E-6	2.06E-6	6.96E-6	1.01E-5
