0.120886	0.64744	21.3174
0.242483	0.639456	21.546
0.363279	0.618057	21.8664
0.484055	0.611765	22.1238
0.60491	0.609495	22.5054
0.725716	0.590922	22.3308
0.846522	0.595845	22.7286
0.967308	0.585457	23.0346
1.08813	0.577712	22.8168
1.20891	0.565347	23.517
1.32972	0.560053	23.337
1.45052	0.564839	22.9554
1.5713	0.55141	23.3622
1.6921	0.552407	23.3226
1.81288	0.543699	24.0192
1.93368	0.539108	24.3576
2.05449	0.534815	23.7384
2.17526	0.529283	24.1308
2.29605	0.520654	24.9336
2.41685	0.508655	25.389
2.53764	8.84797	25.3674
2.65848	12.5966	24.8058
2.77926	13.2443	24.8256
2.90004	13.3084	25.6914
3.02083	13.7954	25.9326
3.14161	13.3316	26.1558
3.26241	13.7576	25.839
3.3832	14.066	25.7058
3.50426	13.5658	26.262
3.62504	14.1863	26.973
3.74585	14.2473	27.1944
3.86666	13.873	26.9874
3.98747	14.4383	26.0262
4.10826	14.2386	26.9244
4.22905	14.1571	27.5616
4.34988	14.3974	27.6624
4.47113	13.9631	27.9252
4.59219	14.4147	27.6786
4.71299	14.469	27.3204
4.83378	13.931	28.1232
4.95459	14.5191	27.8784
5.07539	14.2878	28.1034
5.19616	14.1157	27.837
5.31696	14.5997	27.405
5.43776	14.2165	27.7848
5.55857	14.5812	28.2186
5.67939	14.3618	28.6164
5.80017	14.4462	28.3338
5.921	14.4636	28.53
6.04183	14.2837	28.0656
6.16264	14.6973	28.5966
6.28344	14.2494	29.3832
6.40423	14.2803	28.6632
6.52504	14.6392	28.7136
6.64584	14.2644	28.9782
6.76668	14.3503	29.052
6.88749	14.3815	29.7666
7.00833	14.0711	29.88
7.12912	6.83304	29.8764
7.2499	4.45795	30.1068
7.37069	3.6615	29.8098
7.49149	3.25691	28.8144
7.61234	3.03693	8.2584
7.73313	2.66976	6.7986
7.85392	2.49472	5.9922
7.97473	2.31402	5.3874
8.09558	2.18626	5.0292
8.21638	2.00795	4.6116
8.3372	1.92907	4.3704
8.45816	1.8218	4.1094
8.57905	1.78828	3.8952
8.69986	1.69247	3.8214
8.82064	1.66031	3.6504
8.94143	1.61765	3.6414
9.06224	1.5369	3.51
9.18304	1.48127	3.4848
9.30385	1.45439	3.447
9.42464	1.38958	3.447
9.54546	1.37382	3.4758
9.66625	1.36043	3.3552
9.78706	1.3391	3.3714
9.90787	1.30127	3.1284
10.02871	1.30088	3.168
10.1495	1.31204	3.1122
10.27029	1.24392	3.1446
10.39109	1.20864	3.1554
10.5119	1.20717	3.0132
10.63283	1.20612	3.1446
10.75362	1.22352	3.1392
10.87441	1.21381	3.0726
10.99522	1.18688	3.0114
11.11604	1.18426	3.0258
11.23683	1.1709	3.0942
11.35763	1.17472	3.0474
11.47842	1.17362	3.1392
11.59919	1.14636	3.1608
11.71999	1.17097	3.1374
11.84078	1.19317	3.0996
11.96163	1.19844	3.1356
12.08346	1.14626	3.1374
12.20428	1.30792	3.06
12.32511	13.9663	3.0978
12.44589	14.4487	3.168
12.56675	14.2798	3.1338
12.68756	14.7224	3.1176
12.80839	15.1257	23.3496
12.92947	14.4655	25.6176
13.05031	14.5355	26.8128
13.17111	14.7172	27.2538
13.2919	14.7678	27.5256
13.41269	14.7543	28.5138
13.53353	14.5008	28.3644
13.65433	14.417	28.7874
13.77513	14.7793	29.1564
13.89591	14.6811	29.0322
14.01669	14.6393	28.908
14.13756	14.6082	29.0754
14.25839	14.2761	29.7252
14.3792	14.4572	30.3228
14.49999	14.4419	30.5496
14.62078	14.2159	30.3966
14.74157	14.2283	30.9636
14.86237	14.1552	31.1148
14.98315	14.3135	31.923
15.10394	14.2834	31.6818
15.22474	14.15	31.3758
15.34554	14.3256	30.8448
15.46635	14.2208	31.1436
15.58722	14.2822	31.5522
15.70804	14.4991	31.1616
15.82885	14.6578	31.8744
15.94965	14.36	31.1418
16.07051	14.5361	31.5954
16.1913	14.6823	32.6646
16.31211	14.6953	32.3028
16.43299	14.501	31.8654
16.55386	14.1277	31.8726
16.67491	14.3406	32.2668
16.79601	14.1684	32.7402
16.91679	14.0932	32.5278
17.03762	13.5832	32.6898
17.15842	4.81411	32.202
17.27921	3.91393	32.9544
17.39998	3.45393	9.117
17.52077	3.08291	7.5996
17.64163	2.7184	6.7266
17.76245	2.54015	6.0336
17.88324	2.34643	5.8158
18.00403	2.18947	5.3604
18.12485	2.09178	4.8654
18.24567	2.00714	4.9014
18.36652	1.94725	4.6746
18.4873	1.90375	4.329
18.60808	1.82842	4.3146
18.72887	1.74504	4.1904
18.84966	1.68309	3.9222
18.97047	1.6784	3.9258
19.09127	1.58723	3.915
19.21205	1.54354	3.8286
19.33284	1.52399	3.6648
19.45362	1.47875	3.7314
19.57443	1.39218	3.7062
19.69521	1.35645	3.78
19.816	1.2926	3.5892
19.93741	1.30896	3.483
20.0583	1.25319	3.528
20.17911	1.23141	3.528
20.29993	1.17705	3.3462
20.42075	1.1793	3.3408
20.54157	1.18441	3.3642
20.66236	1.16565	3.4074
20.78318	1.17458	3.321
20.90396	1.16458	3.2976
21.02475	1.18248	3.1734
21.14559	1.18168	3.1644
21.26639	1.16444	3.2652
21.38721	1.18605	3.1932
21.508	1.15184	3.2994
21.62879	1.15289	3.2688
21.74957	1.1524	3.186
21.87035	1.1603	3.105
21.99115	1.13597	3.2166
22.11195	1.1462	3.1446
22.23273	14.126	3.2184
22.35359	14.9014	26.8812
22.47442	14.9268	29.0898
22.59521	15.1431	30.2094
22.716	15.0032	31.0212
22.83679	15.0399	31.959
